name,date_utc,rocket,launchpad,success,payloads,rocket_name,launch_site,launch_region,payload_id,payload_mass_kg,year,latitude,longitude
CRS-12,2017-08-14 16:31:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,1,['5eb0e4c4b6c3bb0006eeb212'],Falcon 9,KSC LC 39A,Florida,5eb0e4c4b6c3bb0006eeb212,2910.0,2017,28.6080585,-80.6039558
FormoSat-5,2017-08-24 18:50:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,1,['5eb0e4c4b6c3bb0006eeb213'],Falcon 9,VAFB SLC 4E,California,5eb0e4c4b6c3bb0006eeb213,475.0,2017,34.632093,-120.610829
Boeing X-37B OTV-5,2017-09-07 13:50:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,1,['5eb0e4c5b6c3bb0006eeb214'],Falcon 9,KSC LC 39A,Florida,5eb0e4c5b6c3bb0006eeb214,4990.0,2017,28.6080585,-80.6039558
Iridium NEXT Mission 3,2017-10-09 12:37:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,1,['5eb0e4c5b6c3bb0006eeb215'],Falcon 9,VAFB SLC 4E,California,5eb0e4c5b6c3bb0006eeb215,9600.0,2017,34.632093,-120.610829
SES-11 / Echostar 105,2017-10-11 22:53:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,1,['5eb0e4c5b6c3bb0006eeb216'],Falcon 9,KSC LC 39A,Florida,5eb0e4c5b6c3bb0006eeb216,5200.0,2017,28.6080585,-80.6039558
KoreaSat 5A,2017-10-30 19:34:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,1,['5eb0e4c5b6c3bb0006eeb217'],Falcon 9,KSC LC 39A,Florida,5eb0e4c5b6c3bb0006eeb217,3700.0,2017,28.6080585,-80.6039558
CRS-13,2017-12-15 15:36:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4c5b6c3bb0006eeb218'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4c5b6c3bb0006eeb218,2205.0,2017,,
Iridium NEXT Mission 4,2017-12-23 01:27:23+00:00,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,1,['5eb0e4c6b6c3bb0006eeb219'],Falcon 9,VAFB SLC 4E,California,5eb0e4c6b6c3bb0006eeb219,9600.0,2017,34.632093,-120.610829
ZUMA,2018-01-08 01:00:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4c6b6c3bb0006eeb21a'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4c6b6c3bb0006eeb21a,,2018,,
SES-16 / GovSat-1,2018-01-31 21:25:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4c6b6c3bb0006eeb21b'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4c6b6c3bb0006eeb21b,4230.0,2018,,
Falcon Heavy Test Flight,2018-02-06 20:45:00+00:00,5e9d0d95eda69974db09d1ed,5e9e4502f509094188566f88,1,['5eb0e4c6b6c3bb0006eeb21c'],Falcon Heavy,KSC LC 39A,Florida,5eb0e4c6b6c3bb0006eeb21c,1350.0,2018,28.6080585,-80.6039558
Paz / Starlink Demo,2018-02-22 14:17:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,1,"['5eb0e4c6b6c3bb0006eeb21d', '5eb0e4c6b6c3bb0006eeb21e']",Falcon 9,VAFB SLC 4E,California,5eb0e4c6b6c3bb0006eeb21d,1350.0,2018,34.632093,-120.610829
Hispasat 30W-6,2018-03-06 05:33:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4c7b6c3bb0006eeb21f'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4c7b6c3bb0006eeb21f,6092.0,2018,,
Iridium NEXT Mission 5,2018-03-30 14:13:51+00:00,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,1,['5eb0e4c7b6c3bb0006eeb220'],Falcon 9,VAFB SLC 4E,California,5eb0e4c7b6c3bb0006eeb220,9600.0,2018,34.632093,-120.610829
CRS-14,2018-04-02 20:30:41+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4c7b6c3bb0006eeb221'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4c7b6c3bb0006eeb221,2760.0,2018,,
TESS,2018-04-18 22:51:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4c7b6c3bb0006eeb222'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4c7b6c3bb0006eeb222,350.0,2018,,
Bangabandhu-1,2018-05-11 20:14:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,1,['5eb0e4c7b6c3bb0006eeb223'],Falcon 9,KSC LC 39A,Florida,5eb0e4c7b6c3bb0006eeb223,3750.0,2018,28.6080585,-80.6039558
Iridium NEXT Mission 6,2018-05-22 19:47:58+00:00,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,1,"['5eb0e4c7b6c3bb0006eeb224', '5eb0e4c8b6c3bb0006eeb225']",Falcon 9,VAFB SLC 4E,California,5eb0e4c7b6c3bb0006eeb224,4300.0,2018,34.632093,-120.610829
SES-12,2018-06-04 04:45:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4c8b6c3bb0006eeb226'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4c8b6c3bb0006eeb226,5383.85,2018,,
CRS-15,2018-06-29 09:42:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4c8b6c3bb0006eeb227'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4c8b6c3bb0006eeb227,2410.0,2018,,
Telstar 19V,2018-07-22 05:50:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4c8b6c3bb0006eeb228'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4c8b6c3bb0006eeb228,7076.0,2018,,
Iridium NEXT Mission 7,2018-07-25 11:39:26+00:00,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,1,['5eb0e4c9b6c3bb0006eeb229'],Falcon 9,VAFB SLC 4E,California,5eb0e4c9b6c3bb0006eeb229,9600.0,2018,34.632093,-120.610829
Merah Putih,2018-08-07 05:18:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4c9b6c3bb0006eeb22a'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4c9b6c3bb0006eeb22a,5800.0,2018,,
Telstar 18V,2018-09-10 04:45:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4c9b6c3bb0006eeb22b'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4c9b6c3bb0006eeb22b,7060.0,2018,,
SAOCOM 1A,2018-10-08 02:22:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,1,['5eb0e4c9b6c3bb0006eeb22c'],Falcon 9,VAFB SLC 4E,California,5eb0e4c9b6c3bb0006eeb22c,2800.0,2018,34.632093,-120.610829
Es’hail 2,2018-11-15 20:46:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,1,['5eb0e4c9b6c3bb0006eeb22d'],Falcon 9,KSC LC 39A,Florida,5eb0e4c9b6c3bb0006eeb22d,3000.0,2018,28.6080585,-80.6039558
SSO-A,2018-12-03 18:34:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,1,['5eb0e4c9b6c3bb0006eeb22e'],Falcon 9,VAFB SLC 4E,California,5eb0e4c9b6c3bb0006eeb22e,4000.0,2018,34.632093,-120.610829
CRS-16,2018-12-05 18:16:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4cab6c3bb0006eeb22f'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4cab6c3bb0006eeb22f,2573.0,2018,,
GPS III SV01,2018-12-23 13:51:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4cab6c3bb0006eeb230'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4cab6c3bb0006eeb230,4400.0,2018,,
Iridium NEXT Mission 8,2019-01-11 15:31:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,1,['5eb0e4cab6c3bb0006eeb231'],Falcon 9,VAFB SLC 4E,California,5eb0e4cab6c3bb0006eeb231,9600.0,2019,34.632093,-120.610829
Nusantara Satu (PSN-6) / S5 / Beresheet,2019-02-22 01:45:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,"['5eb0e4cab6c3bb0006eeb232', '5eb0e4cab6c3bb0006eeb233', '5eb0e4cab6c3bb0006eeb234']",Falcon 9,CCSFS SLC 40,Florida,5eb0e4cab6c3bb0006eeb232,5000.0,2019,,
CCtCap Demo Mission 1,2019-03-02 07:45:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,1,['5eb0e4cbb6c3bb0006eeb235'],Falcon 9,KSC LC 39A,Florida,5eb0e4cbb6c3bb0006eeb235,12259.0,2019,28.6080585,-80.6039558
ArabSat 6A,2019-04-11 22:35:00+00:00,5e9d0d95eda69974db09d1ed,5e9e4502f509094188566f88,1,['5eb0e4cbb6c3bb0006eeb236'],Falcon Heavy,KSC LC 39A,Florida,5eb0e4cbb6c3bb0006eeb236,6000.0,2019,28.6080585,-80.6039558
CRS-17,2019-05-04 06:48:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4cbb6c3bb0006eeb237'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4cbb6c3bb0006eeb237,2482.0,2019,,
Starlink v0.9,2019-05-24 02:30:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4cbb6c3bb0006eeb238'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4cbb6c3bb0006eeb238,13200.0,2019,,
RADARSAT Constellation,2019-06-12 14:17:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,1,['5eb0e4ccb6c3bb0006eeb239'],Falcon 9,VAFB SLC 4E,California,5eb0e4ccb6c3bb0006eeb239,1425.0,2019,34.632093,-120.610829
